row_type,ts_utc,run_date,match_key,match_link,league_slug,match_date,tournament,player_a,player_b,model_id_a,model_id_b,best_of,market,line,book_side,model_selection,bookmaker,decimal_odds,market_p_devig,model_p,edge_raw,edge_devig,kelly_full,stake_flat,stake_kelly,bankroll_kelly,result,pnl_flat,pnl_kelly,note,model_pmf_start,model_pmf,model_median,outcome_value,open_decimal_odds,hours_to_start
pick,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848213,pointsbet:2848213,atp-cincinnati,2026-08-15,ATP Cincinnati,Hanfmann Y.,Fils A.,H997,F0F1,3,games_handicap,4.5,home,A -4.5,pointsbet,1.63,0.5744125326370757,0.688088356847365,0.07459142433202759,0.11367582421028932,0.19299051057334116,1.0,1.0,25.0,,,,"as_of 2026-08-15, book pointsbet",-12,"0.0003064,0.00121573,0.00837338,0.0101277,0.0484083,0.034668,0.140699,0.0681131,0.202803,0.0822582,0.0788104,0.0317155,0.0320438,0.0327885,0.0303712,0.064817,0.0315047,0.0613696,0.0127462,0.0203716,0.00293473,0.00301544,0.000357894,0.000171777,9.32112e-06",-4.0,,,
board,2026-08-15T07:39:28+00:00,2026-08-15,pointsbet:2847042,pointsbet:2847042,atp-cincinnati,2026-08-15,ATP Cincinnati,Landaluce M.,Arnaldi M.,L0IL,A0FC,3,total_games,22.5,over,over 22.5,pointsbet,1.77,0.5241935483870968,0.5079799670274068,-0.056991784385022615,-0.016213581359689977,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0053552,0.0298214,0.061427,0.0672671,0.0857955,0.0734225,0.0578959,0.0910355,0.0682084,0.0106166,0.0354157,0.0560673,0.0273645,0.0339564,0.0371289,0.0378274,0.0466512,0.0453851,0.0285944,0.0215839,0.028842,0.010338",23.0,,,
board,2026-08-15T07:39:28+00:00,2026-08-15,pointsbet:2847042,pointsbet:2847042,atp-cincinnati,2026-08-15,ATP Cincinnati,Landaluce M.,Arnaldi M.,L0IL,A0FC,3,games_handicap,-0.5,home,A +0.5,pointsbet,1.77,0.5177111716621253,0.5061488187546196,-0.0588229326578098,-0.011562352907505735,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"7.00559e-05,0.000303086,0.00252219,0.00332811,0.0191903,0.0152015,0.0732661,0.0394788,0.137177,0.0623752,0.0711023,0.0328021,0.037035,0.0428646,0.0440754,0.104627,0.0596795,0.129344,0.0353047,0.0613031,0.012121,0.0133944,0.00219302,0.00115411,8.73714e-05",1.0,,,
board,2026-08-15T07:39:28+00:00,2026-08-15,pointsbet:2847154,pointsbet:2847154,atp-cincinnati,2026-08-16,ATP Cincinnati,Zverev A.,Norrie C.,Z355,N771,3,total_games,21.5,over,over 21.5,pointsbet,1.65,0.5657894736842105,0.5258006287506543,-0.08025997730995182,-0.039988844933556256,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0277808,0.0287198,0.103513,0.0472226,0.120689,0.0559258,0.0703487,0.0850616,0.0707633,0.00742151,0.0417741,0.0375786,0.023508,0.021188,0.0328219,0.0249143,0.0435437,0.0343352,0.0271188,0.017678,0.0285247,0.00956881",22.0,,,
board,2026-08-15T07:39:28+00:00,2026-08-15,pointsbet:2847154,pointsbet:2847154,atp-cincinnati,2026-08-16,ATP Cincinnati,Zverev A.,Norrie C.,Z355,N771,3,games_handicap,-3.5,home,A +3.5,pointsbet,1.67,0.557029177718833,0.5467097226379911,-0.05209267257158978,-0.010319455080841866,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"3.74596e-06,1.84356e-05,0.000240354,0.00034917,0.00314276,0.00270914,0.0205161,0.0124082,0.0637492,0.0341755,0.0452723,0.0224053,0.0285112,0.0381145,0.0498229,0.131852,0.0853667,0.206917,0.0623708,0.121697,0.0271101,0.0332488,0.0061811,0.00351631,0.000302325",4.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847267,pointsbet:2847267,atp-cincinnati,2026-08-15,ATP Cincinnati,Jodar R.,Shapovalov D.,J0DZ,SU55,3,total_games,21.5,over,over 21.5,pointsbet,1.74,0.5347593582887701,0.5318417289403243,-0.04287091473783655,-0.0029176293484457494,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0280123,0.0301209,0.0993485,0.0505983,0.112426,0.0598745,0.0677781,0.0826992,0.0668169,0.00840298,0.0430948,0.0370724,0.0261966,0.0246401,0.0353433,0.0281621,0.0444285,0.0358722,0.0269461,0.018034,0.0269764,0.00715613",22.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847267,pointsbet:2847267,atp-cincinnati,2026-08-15,ATP Cincinnati,Jodar R.,Shapovalov D.,J0DZ,SU55,3,games_handicap,-3.5,home,A +3.5,pointsbet,1.8,0.5095367847411445,0.5226223711669606,-0.03293318438859494,0.013085586425816143,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"7.94831e-06,3.7996e-05,0.000433537,0.000619262,0.00488064,0.00416457,0.0273908,0.0161614,0.0733242,0.037404,0.0483676,0.023893,0.0299185,0.0388675,0.0472543,0.124652,0.0806418,0.194245,0.0607732,0.116751,0.0271136,0.0328169,0.0063462,0.00361216,0.000322676",4.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847370,pointsbet:2847370,atp-cincinnati,2026-08-15,ATP Cincinnati,Kecmanovic M.,Cobolli F.,KI95,C0E9,3,total_games,22.5,over,over 22.5,pointsbet,1.71,0.5390835579514824,0.4809734338075601,-0.10382188782986679,-0.05811012414392236,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0132753,0.042294,0.0626613,0.0812043,0.0709423,0.0884518,0.0558651,0.0843325,0.0580956,0.0135407,0.0466245,0.0419483,0.0300752,0.037838,0.0383179,0.0404217,0.0429953,0.0414271,0.0251863,0.0194481,0.0227326,0.00232218",22.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847370,pointsbet:2847370,atp-cincinnati,2026-08-15,ATP Cincinnati,Kecmanovic M.,Cobolli F.,KI95,C0E9,3,games_handicap,0.5,home,A -0.5,pointsbet,1.9,0.4822888283378746,0.4740587356972789,-0.05225705377640527,-0.00823009264059571,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"0.00021113,0.000855914,0.00562672,0.00715683,0.0326884,0.0255844,0.0967746,0.0510781,0.144189,0.0622131,0.0675696,0.031993,0.034708,0.0390087,0.0369336,0.0862259,0.0513144,0.108521,0.0331592,0.0551428,0.0122873,0.0130272,0.00238073,0.00124515,0.000104519",-1.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847376,pointsbet:2847376,atp-cincinnati,2026-08-15,ATP Cincinnati,Struff J.,Tabilo A.,SL28,TE30,3,total_games,22.5,over,over 22.5,pointsbet,1.69,0.5481283422459893,0.5120676505374318,-0.07964832579392922,-0.036060691708557524,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0,0.0296443,0.044504,0.0788997,0.0714467,0.0890835,0.0532093,0.101145,0.074225,0.00964589,0.0340376,0.0593748,0.021836,0.0330968,0.0314362,0.0376731,0.0434993,0.049142,0.0280022,0.0228563,0.031178,0.0160643",23.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847376,pointsbet:2847376,atp-cincinnati,2026-08-15,ATP Cincinnati,Struff J.,Tabilo A.,SL28,TE30,3,games_handicap,1.5,home,A -1.5,pointsbet,2.3,0.40414507772020725,0.4522497608610123,0.0174671521653601,0.04810468314080507,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"0.000106446,0.000450837,0.00371347,0.0047531,0.0271622,0.0205628,0.0994366,0.0514117,0.178291,0.0788289,0.0830329,0.0352137,0.0375963,0.0407883,0.0409316,0.0902568,0.0461435,0.0934028,0.020814,0.0346949,0.00544009,0.00581589,0.000754234,0.000375177,2.23565e-05",-2.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847398,pointsbet:2847398,atp-cincinnati,2026-08-15,ATP Cincinnati,Djokovic N.,Tirante T.,D643,T0A1,3,total_games,21.5,over,over 21.5,pointsbet,1.67,0.557029177718833,0.5110932142051461,-0.08770918100443481,-0.045935963513686895,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0358798,0.0338305,0.105243,0.0527855,0.113916,0.0596247,0.0676279,0.0787175,0.0623401,0.00889519,0.0420525,0.0350416,0.027383,0.0251743,0.035865,0.028286,0.0430027,0.0339211,0.0254494,0.0169792,0.0243336,0.00365193",22.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847398,pointsbet:2847398,atp-cincinnati,2026-08-15,ATP Cincinnati,Djokovic N.,Tirante T.,D643,T0A1,3,games_handicap,-3.5,home,A +3.5,pointsbet,1.74,0.5284552845528455,0.5444801060914255,-0.030232537586735386,0.01602482153857998,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"9.56752e-06,4.5395e-05,0.000489534,0.000698899,0.00519736,0.00445798,0.0274928,0.0161854,0.0695508,0.034916,0.0451749,0.0226293,0.0284601,0.0370273,0.0442722,0.118912,0.0794405,0.19414,0.0646084,0.12476,0.031025,0.0377411,0.00781327,0.00451903,0.000432466",4.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847400,pointsbet:2847400,atp-cincinnati,2026-08-15,ATP Cincinnati,Blockx A.,Navone M.,B0PG,N0BS,3,total_games,21.5,over,over 21.5,pointsbet,1.53,0.6056701030927835,0.5275494855698404,-0.1260452856719897,-0.07812061752294308,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0352089,0.0444494,0.0853282,0.0703083,0.0853694,0.0726484,0.0591379,0.0726879,0.0509072,0.0151248,0.0473554,0.0385387,0.0347649,0.0366536,0.0414386,0.0379323,0.0416346,0.0350944,0.0232053,0.0168335,0.0153782",22.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847400,pointsbet:2847400,atp-cincinnati,2026-08-15,ATP Cincinnati,Blockx A.,Navone M.,B0PG,N0BS,3,games_handicap,-2.5,home,A +2.5,pointsbet,1.9,0.4822888283378746,0.514543392762454,-0.011772396711230204,0.03225456442457936,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"0.00012817,0.000536592,0.00347241,0.0046726,0.0209994,0.017883,0.0648898,0.0371891,0.100966,0.0462264,0.0530043,0.0279166,0.0318102,0.037948,0.0378141,0.0914449,0.0641238,0.139301,0.0550792,0.0937251,0.0279679,0.0306164,0.00753846,0.00426125,0.000485365",3.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847445,pointsbet:2847445,atp-cincinnati,2026-08-15,ATP Cincinnati,Atmane T.,Etcheverry T.,A0GC,EA24,3,total_games,22.5,over,over 22.5,pointsbet,1.69,0.5481283422459893,0.5904064468536696,-0.0013095294776913624,0.042278104607680334,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0,0.00153474,0.0392181,0.0428144,0.0810198,0.0708449,0.0426631,0.111499,0.0989978,0.00650065,0.0389663,0.0678964,0.0270889,0.0221852,0.0260463,0.027747,0.0465606,0.052592,0.034209,0.0263456,0.048692,0.0351436,0.00348646,0.00794874",23.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847445,pointsbet:2847445,atp-cincinnati,2026-08-15,ATP Cincinnati,Atmane T.,Etcheverry T.,A0GC,EA24,3,games_handicap,-1.5,home,A +1.5,pointsbet,1.71,0.5390835579514824,0.46805353757444007,-0.1167417840629868,-0.07103002037704237,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"9.15461e-06,4.35759e-05,0.000564614,0.000786478,0.00712826,0.0058132,0.0455113,0.0268777,0.14089,0.0778679,0.0910215,0.039557,0.0438489,0.0520266,0.0661094,0.133122,0.0668723,0.126065,0.0238583,0.0401255,0.0052002,0.00574941,0.000626124,0.000310446,1.56974e-05",1.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847525,pointsbet:2847525,atp-cincinnati,2026-08-15,ATP Cincinnati,Darderi L.,Hijikata R.,D0FJ,H0BH,3,total_games,21.5,over,over 21.5,pointsbet,1.59,0.5859374999999999,0.5290343403254423,-0.09989647728462059,-0.05690315967455761,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.0337093,0.0483944,0.0797895,0.0759593,0.079579,0.0762417,0.0572924,0.072459,0.0491649,0.0166716,0.0478454,0.0397446,0.0352688,0.0386628,0.0415451,0.0394482,0.040639,0.0350186,0.0225513,0.016679,0.013336",22.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847525,pointsbet:2847525,atp-cincinnati,2026-08-15,ATP Cincinnati,Darderi L.,Hijikata R.,D0FJ,H0BH,3,games_handicap,-1.5,home,A +1.5,pointsbet,1.69,0.5481283422459893,0.49647862972517603,-0.09523734660618494,-0.05164971252081324,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"0.000230547,0.000931416,0.00538073,0.00710192,0.0285884,0.0241908,0.0784216,0.044748,0.110303,0.0498727,0.0549705,0.0291726,0.0321474,0.0374618,0.036132,0.0841495,0.059319,0.123753,0.0499362,0.0816568,0.0248,0.0261753,0.00652523,0.00361579,0.000416191",1.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847552,pointsbet:2847552,atp-cincinnati,2026-08-15,ATP Cincinnati,Bellucci M.,Mensik J.,B0GG,M0NI,3,total_games,22.5,over,over 22.5,pointsbet,2.0,0.46524064171123,0.5072226406327413,0.007222640632741251,0.04198199892151128,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0,0.0254899,0.0308349,0.0879936,0.0567094,0.107247,0.0488937,0.115609,0.0852968,0.00776225,0.0335251,0.064169,0.0140464,0.0276557,0.0224612,0.0332364,0.0369615,0.0511941,0.0259876,0.0235922,0.0345571,0.0260441,0.000733158",23.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2847552,pointsbet:2847552,atp-cincinnati,2026-08-15,ATP Cincinnati,Bellucci M.,Mensik J.,B0GG,M0NI,3,games_handicap,2.5,home,A -2.5,pointsbet,2.55,0.3609022556390977,0.4391223433888889,0.0469654806437908,0.07822008774979117,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"0.000107323,0.00045503,0.00398216,0.00502943,0.0306165,0.0224662,0.117707,0.0598393,0.221311,0.0993636,0.0953929,0.0363164,0.0365413,0.0370668,0.0383296,0.0739167,0.0332564,0.0593206,0.00980562,0.0154327,0.00171524,0.0017815,0.000165598,7.76315e-05,3.31814e-06",-3.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848106,pointsbet:2848106,atp-cincinnati,2026-08-15,ATP Cincinnati,Vallejo A.,Vacherot V.,V0DP,VA25,3,total_games,20.5,over,over 20.5,pointsbet,1.67,0.557029177718833,0.5207424729602872,-0.0780599222492937,-0.036286704758545785,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0.0121284,0.0313319,0.0782285,0.0640373,0.103876,0.0715785,0.0980772,0.0500462,0.0747784,0.044181,0.0259838,0.0293704,0.0384335,0.0270711,0.0372484,0.0322535,0.0374607,0.031918,0.0319264,0.0179953,0.0145764,0.00749923",21.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848106,pointsbet:2848106,atp-cincinnati,2026-08-15,ATP Cincinnati,Vallejo A.,Vacherot V.,V0DP,VA25,3,games_handicap,3.5,home,A -3.5,pointsbet,2.0,0.46091644204851756,0.4280324701389372,-0.0719675298610628,-0.03288397190958037,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"0.0013056,0.00461272,0.0209804,0.0243153,0.0777651,0.0576149,0.152119,0.076252,0.157002,0.0621366,0.0580616,0.0273708,0.02671,0.0279915,0.0237051,0.0508351,0.0307233,0.0587495,0.0189511,0.0281574,0.00657121,0.00625665,0.00118123,0.000581287,5.00327e-05",-4.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848117,pointsbet:2848117,atp-cincinnati,2026-08-15,ATP Cincinnati,Paul T.,Hurkacz H.,PL56,HB71,3,total_games,22.5,over,over 22.5,pointsbet,1.63,0.5744125326370757,0.5332998646502618,-0.08019706786507563,-0.0411126679868139,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.000730166,0.018177,0.0640039,0.0462573,0.100336,0.0567064,0.0616184,0.0988712,0.0840239,0.0074981,0.0363167,0.0623843,0.0216737,0.0250409,0.0325896,0.0299075,0.0486256,0.0463418,0.0324064,0.0231317,0.038472,0.0243356,0.000552242",23.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848117,pointsbet:2848117,atp-cincinnati,2026-08-15,ATP Cincinnati,Paul T.,Hurkacz H.,PL56,HB71,3,games_handicap,-2.5,home,A +2.5,pointsbet,2.05,0.45187165775401067,0.5129728896487438,0.025168011599963236,0.0611012318947331,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"9.79483e-06,4.64853e-05,0.000560211,0.000785498,0.00658207,0.00544087,0.0387287,0.0225728,0.10937,0.0572264,0.070066,0.0323368,0.0382107,0.0472286,0.0578625,0.134892,0.0756498,0.162972,0.0393133,0.0707698,0.0122007,0.0140275,0.00201648,0.00106128,7.05261e-05",3.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848140,pointsbet:2848140,atp-cincinnati,2026-08-15,ATP Cincinnati,Halys Q.,De Minaur A.,HB64,DH58,3,total_games,22.5,over,over 22.5,pointsbet,1.95,0.47580645161290325,0.516569871692583,0.0037493588720700632,0.0407634200796797,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0,0.0225262,0.030977,0.0839932,0.0581821,0.103426,0.0490863,0.115239,0.0862097,0.00774151,0.0340347,0.065415,0.0144564,0.0277461,0.0231315,0.0333439,0.0381161,0.0518459,0.0268115,0.0240037,0.0356447,0.0266873,0.0013818",23.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848140,pointsbet:2848140,atp-cincinnati,2026-08-15,ATP Cincinnati,Halys Q.,De Minaur A.,HB64,DH58,3,games_handicap,2.5,home,A -2.5,pointsbet,2.35,0.3943298969072165,0.4592949420091347,0.03376302711551765,0.0649650451019182,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",-12,"9.32031e-05,0.000398239,0.00356267,0.00453173,0.0282012,0.0208574,0.111631,0.057301,0.215962,0.0981662,0.0958063,0.0369166,0.0374646,0.038458,0.04028,0.0783277,0.0356567,0.0641633,0.0108149,0.0171396,0.0019463,0.00203287,0.000192954,9.09793e-05,3.97394e-06",-3.0,,,
board,2026-08-15T07:39:29+00:00,2026-08-15,pointsbet:2848213,pointsbet:2848213,atp-cincinnati,2026-08-15,ATP Cincinnati,Hanfmann Y.,Fils A.,H997,F0F1,3,total_games,21.5,over,over 21.5,pointsbet,1.71,0.5390835579514824,0.5536872506970231,-0.031108070940403798,0.01460369274554063,,0.0,0.0,,,,,"board, as_of 2026-08-15, book pointsbet",11,"0.02,0,0,0,0.00615203,0.0500423,0.04363,0.104477,0.0537509,0.117345,0.0509156,0.0995565,0.0663268,0.0103527,0.0404296,0.0429412,0.0193668,0.0330763,0.0273084,0.0370272,0.0364042,0.0442347,0.0231021,0.020036,0.0249095,0.00861523",22.0,,,
